states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:58:C:x
206:   41:85:a:y
207:   41:43:A:y
208:   41:25:c:y
209:   41:76:B:x
210:   42:76:a:y
211:   42:54:b:y
212:   42:5:c:y
213:   42:96:C:y
214:   42:3:B:x
215:   43:4:A:y
216:   43:18:B:y
217:   43:87:c:y
218:   43:33:b:x
219:   43:5:a:y
220:   44:43:A:y
221:   44:96:b:y
222:   44:34:C:x
223:   44:39:a:x
224:   44:40:c:x
225:   45:24:a:x
226:   45:41:B:x
227:   45:72:b:x
228:   45:79:C:y
229:   45:77:A:y
230:   46:6:A:y
231:   46:15:b:y
232:   46:69:a:x
233:   46:15:B:y
234:   46:33:c:y
235:   47:68:C:x
236:   47:56:a:x
237:   47:42:b:x
238:   47:7:A:y
239:   47:0:B:x
240:   48:7:a:y
241:   48:65:C:x
242:   48:11:b:y
243:   48:86:A:x
244:   48:79:B:y
245:   49:53:B:x
246:   49:48:C:y
247:   49:40:a:y
248:   49:64:b:y
249:   49:34:A:x
250:   50:93:B:y
251:   50:73:c:x
252:   50:21:C:x
253:   50:67:a:x
254:   50:55:A:y
255:   51:90:B:y
256:   51:33:c:y
257:   51:53:C:y
258:   51:29:A:x
259:   51:70:b:x
260:   52:51:b:y
261:   52:28:B:y
262:   52:65:A:x
263:   52:51:a:y
264:   52:68:c:x
265:   53:13:A:y
266:   53:31:B:x
267:   53:87:c:x
268:   53:81:C:y
269:   53:90:b:x
270:   54:64:A:y
271:   54:73:B:x
272:   54:25:b:y
273:   54:0:c:y
274:   54:29:a:y
275:   55:56:a:y
276:   55:83:A:y
277:   55:40:b:y
278:   55:13:B:x
279:   55:29:c:y
280:   56:57:C:x
281:   56:28:b:y
282:   56:21:a:x
283:   56:57:A:y
284:   56:11:c:x
285:   57:47:c:x
286:   57:51:b:y
287:   57:88:a:x
288:   57:89:C:y
289:   57:70:A:y
290:   58:87:C:x
291:   58:81:A:y
292:   58:94:a:y
293:   58:18:B:x
294:   58:88:b:y
295:   59:56:B:x
296:   59:89:b:x
297:   59:47:A:y
298:   59:83:c:y
299:   59:7:C:y
300:   60:67:c:x
301:   60:26:A:y
302:   60:38:a:y
303:   60:22:C:x
304:   60:43:b:y
305:   61:27:A:x
306:   61:7:a:x
307:   61:65:b:y
308:   61:0:C:y
309:   61:51:B:x
310:   62:78:c:y
311:   62:12:A:x
312:   62:27:C:y
313:   62:99:a:x
314:   62:47:b:y
315:   63:69:C:y
316:   63:7:B:y
317:   63:45:A:y
318:   63:17:c:x
319:   63:67:a:y
320:   64:99:a:x
321:   64:99:c:y
322:   64:60:C:y
323:   64:63:B:x
324:   64:78:A:x
325:   65:77:A:x
326:   65:99:b:y
327:   65:90:c:x
328:   65:48:C:x
329:   65:25:a:x
330:   66:41:b:x
331:   66:53:C:y
332:   66:43:c:x
333:   66:39:A:y
334:   66:28:a:x
335:   67:20:a:y
336:   67:23:b:y
337:   67:82:c:y
338:   67:62:C:y
339:   67:58:A:y
340:   68:34:A:y
341:   68:43:c:x
342:   68:72:B:x
343:   68:81:C:y
344:   68:99:b:x
345:   69:68:C:x
346:   69:0:b:x
347:   69:16:B:y
348:   69:82:A:y
349:   69:0:c:x
350:   70:29:b:x
351:   70:19:a:x
352:   70:30:C:y
353:   70:23:B:y
354:   70:40:A:x
355:   71:15:b:y
356:   71:93:a:y
357:   71:23:B:y
358:   71:38:C:y
359:   71:45:c:x
360:   72:4:a:y
361:   72:6:B:y
362:   72:48:A:x
363:   72:14:C:x
364:   72:32:b:y
365:   73:32:a:x
366:   73:5:B:y
367:   73:29:b:x
368:   73:24:c:y
369:   73:7:A:y
370:   74:27:B:y
371:   74:74:a:x
372:   74:58:b:x
373:   74:6:c:x
374:   74:50:C:x
375:   75:7:C:y
376:   75:63:a:y
377:   75:17:B:x
378:   75:68:A:y
379:   75:93:b:x
380:   76:99:a:y
381:   76:27:b:x
382:   76:91:B:y
383:   76:56:c:x
384:   76:90:A:y
385:   77:84:a:y
386:   77:98:b:y
387:   77:86:A:x
388:   77:39:c:y
389:   77:55:C:x
390:   78:7:C:y
391:   78:14:B:x
392:   78:69:c:x
393:   78:65:a:x
394:   78:90:A:y
395:   79:22:C:x
396:   79:72:A:y
397:   79:49:B:x
398:   79:4:a:x
399:   79:98:b:y
400:   80:99:A:y
401:   80:10:c:x
402:   80:30:B:y
403:   80:9:a:x
404:   80:77:C:x
405:   81:46:a:x
406:   81:26:B:y
407:   81:47:c:x
408:   81:67:b:x
409:   81:29:C:x
410:   82:69:c:x
411:   82:46:B:y
412:   82:94:A:x
413:   82:60:C:y
414:   82:68:a:x
415:   83:16:b:y
416:   83:14:C:y
417:   83:2:a:x
418:   83:30:B:y
419:   83:47:A:y
420:   84:99:A:x
421:   84:64:C:y
422:   84:14:a:y
423:   84:20:c:x
424:   84:77:b:x
425:   85:49:a:x
426:   85:62:c:x
427:   85:13:B:y
428:   85:10:C:x
429:   85:19:A:y
430:   86:76:B:y
431:   86:33:a:x
432:   86:17:b:y
433:   86:36:c:y
434:   86:1:A:y
435:   87:64:C:y
436:   87:93:c:y
437:   87:6:A:x
438:   87:46:a:y
439:   87:36:B:x
440:   88:23:b:y
441:   88:67:A:x
442:   88:82:a:y
443:   88:5:c:x
444:   88:59:B:x
445:   89:56:C:y
446:   89:4:A:x
447:   89:49:b:y
448:   89:94:c:x
449:   89:26:a:x
450:   90:30:A:x
451:   90:62:C:x
452:   90:43:b:x
453:   90:65:B:x
454:   90:53:c:x
455:   91:35:B:y
456:   91:55:C:x
457:   91:94:c:x
458:   91:4:A:y
459:   91:70:a:y
460:   92:99:A:x
461:   92:32:B:x
462:   92:15:c:y
463:   92:23:C:x
464:   92:70:a:y
465:   93:60:c:x
466:   93:17:C:y
467:   93:34:B:y
468:   93:99:a:x
469:   93:63:b:y
470:   94:20:b:x
471:   94:38:B:y
472:   94:99:C:y
473:   94:99:A:y
474:   94:4:c:x
475:   95:2:b:y
476:   95:14:C:y
477:   95:19:a:x
478:   95:35:B:y
479:   95:58:c:x
480:   96:59:A:x
481:   96:60:c:y
482:   96:24:C:x
483:   96:76:b:y
484:   96:59:a:x
485:   97:43:c:y
486:   97:93:a:x
487:   97:40:B:x
488:   97:27:b:x
489:   97:21:C:y
490:   98:39:b:x
491:   98:45:A:x
492:   98:85:c:y
493:   98:50:a:x
494:   98:43:B:x
495:   99:13:a:y
496:   99:31:B:y
497:   99:47:A:y
498:   99:33:c:x
499:   99:54:C:x
