states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:97:C:x
103:   20:24:B:y
104:   20:2:C:x
105:   21:49:a:y
106:   21:8:c:x
107:   21:86:b:y
108:   21:37:B:y
109:   21:56:A:x
110:   22:3:b:y
111:   22:82:a:x
112:   22:53:C:y
113:   22:35:c:y
114:   22:28:A:x
115:   23:40:B:x
116:   23:35:a:x
117:   23:15:C:x
118:   23:48:c:x
119:   23:75:b:x
120:   24:86:b:x
121:   24:50:A:x
122:   24:93:C:x
123:   24:79:a:y
124:   24:27:c:x
125:   25:52:c:x
126:   25:24:C:x
127:   25:50:B:y
128:   25:65:A:y
129:   25:46:a:y
130:   26:59:C:x
131:   26:34:c:y
132:   26:22:B:y
133:   26:54:b:y
134:   26:56:A:x
135:   27:76:A:y
136:   27:76:C:x
137:   27:60:B:x
138:   27:20:a:x
139:   27:34:c:x
140:   28:72:B:y
141:   28:42:c:y
142:   28:89:A:y
143:   28:97:b:x
144:   28:66:C:x
145:   29:36:b:x
146:   29:45:C:y
147:   29:37:B:y
148:   29:40:A:y
149:   29:41:c:x
150:   30:64:c:x
151:   30:26:a:x
152:   30:72:b:x
153:   30:96:C:y
154:   30:66:A:y
155:   31:47:C:x
156:   31:67:b:y
157:   31:48:A:y
158:   31:69:c:x
159:   31:45:a:y
160:   32:91:a:y
161:   32:4:A:x
162:   32:95:C:y
163:   32:85:c:y
164:   32:14:B:x
165:   33:34:C:x
166:   33:44:A:x
167:   33:21:B:y
168:   33:23:b:y
169:   33:77:c:y
170:   34:92:c:x
171:   34:7:a:y
172:   34:75:C:x
173:   34:48:B:y
174:   34:83:b:y
175:   35:39:a:y
176:   35:95:c:x
177:   35:86:C:x
178:   35:6:B:x
179:   35:33:b:x
180:   36:52:c:x
181:   36:52:C:x
182:   36:3:B:x
183:   36:11:b:y
184:   36:40:A:x
185:   37:79:c:y
186:   37:76:A:y
187:   37:80:C:y
188:   37:87:B:y
189:   37:89:a:y
190:   38:62:a:x
191:   38:29:c:y
192:   38:18:C:x
193:   38:43:B:x
194:   38:7:A:x
195:   39:93:c:x
196:   39:99:B:y
197:   39:3:C:y
198:   39:61:a:x
199:   39:53:A:y
200:   40:61:B:y
201:   40:64:C:x
202:   40:82:b:x
203:   40:0:a:x
204:   40:23:c:y
205:   41:92:C:y
206:   41:83:c:y
207:   41:67:a:y
208:   41:88:A:y
209:   41:47:B:y
210:   42:87:b:y
211:   42:70:c:y
212:   42:16:C:x
213:   42:59:a:y
214:   42:20:B:y
215:   43:89:C:y
216:   43:69:a:y
217:   43:26:B:x
218:   43:45:c:x
219:   43:93:A:y
220:   44:39:b:x
221:   44:50:c:x
222:   44:83:B:y
223:   44:91:a:y
224:   44:47:A:x
225:   45:81:a:x
226:   45:14:B:x
227:   45:36:c:x
228:   45:70:A:x
229:   45:98:C:y
230:   46:16:a:y
231:   46:95:A:x
232:   46:16:c:x
233:   46:92:C:y
234:   46:67:B:x
235:   47:43:b:y
236:   47:39:A:x
237:   47:49:c:x
238:   47:38:B:y
239:   47:55:C:y
240:   48:82:c:x
241:   48:44:a:x
242:   48:6:C:x
243:   48:21:A:x
244:   48:20:B:y
245:   49:42:C:y
246:   49:5:b:x
247:   49:51:c:x
248:   49:19:B:x
249:   49:13:a:x
250:   50:99:a:x
251:   50:12:A:x
252:   50:44:c:x
253:   50:70:C:x
254:   50:73:B:y
255:   51:94:c:x
256:   51:74:b:x
257:   51:73:B:y
258:   51:71:a:y
259:   51:19:C:x
260:   52:78:C:x
261:   52:1:B:y
262:   52:0:a:x
263:   52:88:b:x
264:   52:31:A:x
265:   53:31:c:y
266:   53:71:a:y
267:   53:0:C:x
268:   53:13:b:x
269:   53:87:A:y
270:   54:81:c:y
271:   54:38:C:y
272:   54:68:a:x
273:   54:58:B:y
274:   54:98:b:x
275:   55:57:B:x
276:   55:98:b:y
277:   55:58:C:y
278:   55:88:a:y
279:   55:68:c:x
280:   56:38:A:y
281:   56:1:b:x
282:   56:22:C:y
283:   56:33:a:x
284:   56:57:c:y
285:   57:63:b:x
286:   57:15:B:y
287:   57:43:A:y
288:   57:90:c:x
289:   57:78:a:x
290:   58:25:a:y
291:   58:63:C:x
292:   58:29:A:y
293:   58:65:b:y
294:   58:65:B:x
295:   59:25:B:y
296:   59:5:c:x
297:   59:29:C:y
298:   59:22:b:x
299:   59:5:A:y
300:   60:0:C:y
301:   60:34:a:x
302:   60:39:c:x
303:   60:22:B:y
304:   60:22:b:y
305:   61:76:a:x
306:   61:27:C:y
307:   61:43:A:y
308:   61:85:c:x
309:   61:82:b:y
310:   62:85:b:y
311:   62:70:A:y
312:   62:93:C:x
313:   62:81:c:y
314:   62:53:a:y
315:   63:87:C:x
316:   63:50:c:x
317:   63:19:A:y
318:   63:8:B:x
319:   63:85:a:y
320:   64:80:B:x
321:   64:39:C:x
322:   64:19:A:y
323:   64:25:a:y
324:   64:53:b:x
325:   65:49:B:y
326:   65:41:c:x
327:   65:48:C:x
328:   65:73:b:y
329:   65:9:A:x
330:   66:5:C:x
331:   66:28:c:x
332:   66:25:b:y
333:   66:41:A:y
334:   66:55:B:y
335:   67:24:b:y
336:   67:43:C:y
337:   67:99:A:y
338:   67:60:c:y
339:   67:87:B:y
340:   68:1:a:y
341:   68:70:b:x
342:   68:44:c:y
343:   68:9:B:x
344:   68:83:A:y
345:   69:12:B:x
346:   69:11:A:x
347:   69:33:C:y
348:   69:37:b:x
349:   69:60:a:x
350:   70:1:C:x
351:   70:73:B:x
352:   70:60:b:y
353:   70:0:A:x
354:   70:1:c:x
355:   71:37:C:x
356:   71:14:b:y
357:   71:41:c:x
358:   71:74:A:y
359:   71:67:a:y
360:   72:75:C:x
361:   72:74:a:y
362:   72:4:c:y
363:   72:45:B:x
364:   72:93:b:y
365:   73:96:A:y
366:   73:90:c:x
367:   73:56:B:y
368:   73:29:C:y
369:   73:33:b:y
370:   74:39:b:x
371:   74:85:C:x
372:   74:15:A:x
373:   74:56:B:y
374:   74:41:c:x
375:   75:66:a:y
376:   75:43:c:x
377:   75:37:C:x
378:   75:92:B:x
379:   75:81:A:x
380:   76:39:B:y
381:   76:2:b:y
382:   76:94:C:x
383:   76:54:c:y
384:   76:78:A:y
385:   77:63:b:x
386:   77:32:C:x
387:   77:36:a:y
388:   77:18:c:y
389:   77:83:B:x
390:   78:51:C:y
391:   78:57:b:y
392:   78:81:a:y
393:   78:17:A:y
394:   78:65:B:x
395:   79:89:a:x
396:   79:3:c:x
397:   79:12:B:x
398:   79:31:C:x
399:   79:75:b:x
400:   80:89:C:y
401:   80:63:B:x
402:   80:93:b:x
403:   80:83:a:x
404:   80:17:A:x
405:   81:91:B:y
406:   81:20:a:y
407:   81:35:C:x
408:   81:32:A:y
409:   81:86:c:x
410:   82:36:C:y
411:   82:96:B:x
412:   82:83:a:x
413:   82:21:b:y
414:   82:33:A:y
415:   83:39:B:x
416:   83:83:a:y
417:   83:40:A:y
418:   83:66:b:y
419:   83:41:C:x
420:   84:11:B:y
421:   84:45:b:x
422:   84:1:a:y
423:   84:9:A:x
424:   84:30:c:y
425:   85:22:C:x
426:   85:29:a:x
427:   85:21:b:x
428:   85:98:A:y
429:   85:49:c:y
430:   86:25:C:y
431:   86:36:B:y
432:   86:20:A:x
433:   86:1:c:x
434:   86:41:a:x
435:   87:72:C:y
436:   87:73:A:x
437:   87:13:a:x
438:   87:86:B:x
439:   87:50:c:y
440:   88:74:C:y
441:   88:5:B:x
442:   88:21:A:x
443:   88:44:b:x
444:   88:16:a:x
445:   89:9:c:x
446:   89:19:a:y
447:   89:64:C:x
448:   89:20:B:x
449:   89:50:b:x
450:   90:70:c:y
451:   90:61:A:x
452:   90:44:a:x
453:   90:53:B:x
454:   90:80:b:x
455:   91:44:a:x
456:   91:10:B:y
457:   91:93:c:x
458:   91:50:C:x
459:   91:91:A:y
460:   92:11:B:x
461:   92:35:a:y
462:   92:11:c:y
463:   92:42:b:x
464:   92:58:C:x
465:   93:64:A:y
466:   93:30:a:y
467:   93:16:b:y
468:   93:7:B:y
469:   93:39:c:y
470:   94:84:C:y
471:   94:20:B:x
472:   94:41:A:y
473:   94:37:a:y
474:   94:96:c:x
475:   95:89:C:y
476:   95:41:a:y
477:   95:33:B:y
478:   95:8:A:x
479:   95:16:c:y
480:   96:22:a:y
481:   96:56:B:y
482:   96:79:c:x
483:   96:67:C:x
484:   96:59:A:x
485:   97:52:B:y
486:   97:50:C:y
487:   97:16:b:y
488:   97:48:c:x
489:   97:7:a:y
490:   98:16:B:x
491:   98:45:c:y
492:   98:1:a:x
493:   98:20:C:x
494:   98:32:b:y
495:   99:7:c:y
496:   99:83:B:x
497:   99:7:b:x
498:   99:46:a:x
499:   99:86:A:x
