states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:38:B:x
89:    17:16:b:y
90:    18:53:C:x
91:    18:42:a:x
92:    18:19:A:x
93:    18:27:B:x
94:    18:52:b:x
95:    19:8:a:x
96:    19:30:C:y
97:    19:35:b:x
98:    19:75:c:x
99:    19:67:B:y
100:   20:87:a:y
101:   20:62:C:x
102:   20:80:b:y
103:   20:27:c:x
104:   20:61:A:x
105:   21:53:c:y
106:   21:54:C:y
107:   21:71:a:y
108:   21:11:A:x
109:   21:44:b:x
110:   22:81:A:y
111:   22:10:B:y
112:   22:4:C:x
113:   22:42:a:x
114:   22:2:c:x
115:   23:28:c:x
116:   23:56:b:y
117:   23:78:B:x
118:   23:37:a:x
119:   23:5:A:x
120:   24:67:a:x
121:   24:98:b:y
122:   24:77:A:x
123:   24:92:c:x
124:   24:6:B:y
125:   25:38:b:y
126:   25:41:c:y
127:   25:0:a:x
128:   25:58:C:x
129:   25:30:B:x
130:   26:19:C:y
131:   26:19:A:y
132:   26:93:a:x
133:   26:29:c:y
134:   26:63:b:x
135:   27:9:C:x
136:   27:46:A:y
137:   27:25:c:y
138:   27:50:B:x
139:   27:81:b:y
140:   28:43:a:x
141:   28:84:b:y
142:   28:53:A:x
143:   28:93:B:y
144:   28:24:c:y
145:   29:74:A:y
146:   29:76:b:x
147:   29:17:a:y
148:   29:69:c:x
149:   29:23:C:x
150:   30:91:a:x
151:   30:80:B:y
152:   30:51:b:y
153:   30:16:c:x
154:   30:72:C:y
155:   31:95:C:x
156:   31:60:A:y
157:   31:30:a:y
158:   31:91:B:x
159:   31:52:c:x
160:   32:35:A:x
161:   32:50:b:y
162:   32:52:a:y
163:   32:34:c:x
164:   32:1:C:x
165:   33:46:c:y
166:   33:55:B:y
167:   33:11:C:y
168:   33:31:b:y
169:   33:70:a:x
170:   34:40:A:y
171:   34:58:B:y
172:   34:96:C:x
173:   34:43:a:y
174:   34:96:b:x
175:   35:92:B:x
176:   35:83:c:y
177:   35:70:b:y
178:   35:84:a:y
179:   35:59:A:y
180:   36:78:b:x
181:   36:63:a:y
182:   36:51:B:y
183:   36:62:c:x
184:   36:17:C:x
185:   37:90:C:y
186:   37:89:b:x
187:   37:36:c:x
188:   37:4:a:x
189:   37:73:B:y
190:   38:66:C:x
191:   38:43:A:y
192:   38:36:B:x
193:   38:27:c:y
194:   38:32:b:y
195:   39:86:b:y
196:   39:10:B:x
197:   39:12:C:x
198:   39:82:A:x
199:   39:6:c:x
200:   40:3:B:x
201:   40:79:b:y
202:   40:31:a:y
203:   40:44:c:x
204:   40:7:A:y
205:   41:4:A:y
206:   41:18:B:x
207:   41:48:c:x
208:   41:7:C:x
209:   41:82:a:y
210:   42:25:A:x
211:   42:29:c:y
212:   42:96:a:x
213:   42:12:b:x
214:   42:0:C:y
215:   43:20:b:x
216:   43:63:C:y
217:   43:45:c:x
218:   43:57:a:x
219:   43:13:B:y
220:   44:32:c:x
221:   44:60:C:x
222:   44:73:B:x
223:   44:32:a:y
224:   44:48:b:x
225:   45:1:C:y
226:   45:34:A:y
227:   45:75:b:y
228:   45:59:c:y
229:   45:68:B:x
230:   46:97:c:x
231:   46:26:A:y
232:   46:65:b:x
233:   46:42:C:y
234:   46:57:B:x
235:   47:69:a:x
236:   47:37:B:y
237:   47:5:A:x
238:   47:0:C:x
239:   47:11:c:y
240:   48:24:C:y
241:   48:66:c:y
242:   48:90:a:y
243:   48:59:B:x
244:   48:40:b:x
245:   49:58:B:x
246:   49:47:A:y
247:   49:66:C:y
248:   49:72:c:x
249:   49:72:b:y
250:   50:77:b:x
251:   50:21:c:y
252:   50:60:a:y
253:   50:48:C:y
254:   50:94:B:y
255:   51:5:a:y
256:   51:62:b:y
257:   51:71:c:x
258:   51:97:B:y
259:   51:40:A:x
260:   52:68:b:x
261:   52:3:A:y
262:   52:25:B:x
263:   52:17:c:x
264:   52:45:a:y
265:   53:12:a:x
266:   53:69:A:y
267:   53:9:B:x
268:   53:79:c:x
269:   53:37:b:x
270:   54:77:b:x
271:   54:15:A:x
272:   54:61:a:x
273:   54:23:B:x
274:   54:61:C:x
275:   55:2:a:x
276:   55:26:c:x
277:   55:31:A:y
278:   55:51:B:x
279:   55:92:C:y
280:   56:50:A:y
281:   56:74:a:y
282:   56:22:b:y
283:   56:33:c:x
284:   56:2:B:y
285:   57:9:B:y
286:   57:94:c:x
287:   57:22:b:x
288:   57:33:A:y
289:   57:39:a:x
290:   58:15:b:x
291:   58:74:a:x
292:   58:98:C:x
293:   58:94:c:x
294:   58:20:A:x
295:   59:26:C:x
296:   59:23:b:y
297:   59:95:A:x
298:   59:64:a:x
299:   59:20:B:x
300:   60:10:A:y
301:   60:64:C:x
302:   60:9:B:y
303:   60:0:c:x
304:   60:93:a:x
305:   61:12:B:x
306:   61:76:C:y
307:   61:51:b:y
308:   61:36:c:x
309:   61:84:a:y
310:   62:19:c:x
311:   62:33:b:y
312:   62:27:B:y
313:   62:39:C:y
314:   62:68:a:y
315:   63:63:c:x
316:   63:69:a:x
317:   63:46:C:x
318:   63:2:B:y
319:   63:86:A:y
320:   64:14:A:y
321:   64:99:a:y
322:   64:51:c:y
323:   64:41:b:x
324:   64:48:C:x
325:   65:17:c:y
326:   65:52:b:x
327:   65:96:A:y
328:   65:52:C:y
329:   65:60:B:x
330:   66:98:B:x
331:   66:61:C:x
332:   66:49:A:y
333:   66:66:c:x
334:   66:12:b:x
335:   67:63:a:x
336:   67:39:A:y
337:   67:46:c:x
338:   67:51:b:y
339:   67:31:B:x
340:   68:5:A:x
341:   68:10:C:y
342:   68:70:c:x
343:   68:91:B:y
344:   68:57:a:x
345:   69:72:A:x
346:   69:89:C:x
347:   69:38:a:x
348:   69:1:B:x
349:   69:47:c:x
350:   70:38:A:x
351:   70:86:a:y
352:   70:17:C:x
353:   70:84:b:y
354:   70:8:B:x
355:   71:76:a:x
356:   71:73:C:y
357:   71:86:b:y
358:   71:34:c:x
359:   71:42:A:y
360:   72:3:B:y
361:   72:34:b:x
362:   72:93:C:y
363:   72:82:c:y
364:   72:95:a:y
365:   73:24:A:y
366:   73:35:C:x
367:   73:19:b:y
368:   73:55:a:x
369:   73:92:c:y
370:   74:13:c:x
371:   74:54:a:x
372:   74:63:C:x
373:   74:36:B:y
374:   74:68:A:y
375:   75:38:A:x
376:   75:87:b:x
377:   75:34:a:x
378:   75:6:C:x
379:   75:32:B:y
380:   76:94:C:y
381:   76:50:B:x
382:   76:94:b:y
383:   76:83:a:x
384:   76:58:A:y
385:   77:29:c:x
386:   77:36:b:y
387:   77:99:B:x
388:   77:23:A:x
389:   77:85:a:x
390:   78:51:b:y
391:   78:5:B:y
392:   78:26:C:x
393:   78:72:c:x
394:   78:52:A:x
395:   79:85:a:y
396:   79:17:b:x
397:   79:68:C:y
398:   79:50:A:x
399:   79:41:B:y
400:   80:48:A:x
401:   80:39:b:x
402:   80:78:C:x
403:   80:24:a:y
404:   80:79:c:x
405:   81:19:A:x
406:   81:76:b:x
407:   81:42:a:y
408:   81:42:C:y
409:   81:33:c:y
410:   82:48:C:y
411:   82:8:b:x
412:   82:1:c:y
413:   82:17:A:y
414:   82:51:a:y
415:   83:52:b:y
416:   83:16:C:y
417:   83:57:A:x
418:   83:26:B:x
419:   83:73:a:y
420:   84:96:a:y
421:   84:99:b:x
422:   84:69:A:y
423:   84:9:C:y
424:   84:24:B:y
425:   85:42:b:x
426:   85:54:c:x
427:   85:47:a:x
428:   85:94:B:y
429:   85:9:A:x
430:   86:86:c:x
431:   86:11:B:x
432:   86:73:C:x
433:   86:19:a:x
434:   86:48:b:y
435:   87:31:b:y
436:   87:54:A:y
437:   87:30:B:y
438:   87:42:c:x
439:   87:63:C:x
440:   88:76:b:x
441:   88:20:B:x
442:   88:38:a:x
443:   88:53:c:x
444:   88:72:A:y
445:   89:63:b:y
446:   89:83:c:y
447:   89:95:A:y
448:   89:53:a:y
449:   89:9:B:y
450:   90:45:B:y
451:   90:50:c:y
452:   90:47:C:y
453:   90:71:A:y
454:   90:51:b:y
455:   91:22:C:y
456:   91:88:b:y
457:   91:24:a:y
458:   91:74:B:x
459:   91:47:A:x
460:   92:7:B:y
461:   92:9:a:y
462:   92:89:b:y
463:   92:31:c:x
464:   92:46:A:x
465:   93:65:C:x
466:   93:75:a:y
467:   93:48:B:x
468:   93:41:A:x
469:   93:76:b:x
470:   94:98:a:y
471:   94:5:C:x
472:   94:21:A:x
473:   94:97:b:x
474:   94:28:c:x
475:   95:47:B:x
476:   95:93:C:y
477:   95:27:b:y
478:   95:17:A:y
479:   95:49:a:y
480:   96:87:C:x
481:   96:26:A:x
482:   96:14:B:y
483:   96:16:a:x
484:   96:15:c:y
485:   97:57:B:x
486:   97:1:C:y
487:   97:13:b:x
488:   97:75:a:x
489:   97:40:A:x
490:   98:82:b:y
491:   98:71:A:y
492:   98:43:a:y
493:   98:78:c:x
494:   98:81:B:x
495:   99:83:a:y
496:   99:67:C:x
497:   99:19:b:x
498:   99:19:c:x
499:   99:86:A:y
