states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:69:c:y
108:   21:38:B:y
109:   21:91:c:y
110:   22:86:a:x
111:   22:58:b:x
112:   22:21:C:x
113:   22:19:A:x
114:   22:77:B:x
115:   23:38:b:x
116:   23:66:C:y
117:   23:72:c:x
118:   23:17:B:x
119:   23:1:A:y
120:   24:85:a:y
121:   24:87:b:x
122:   24:82:C:y
123:   24:62:A:x
124:   24:28:c:y
125:   25:59:A:x
126:   25:2:b:x
127:   25:40:C:x
128:   25:30:a:x
129:   25:32:c:x
130:   26:2:b:x
131:   26:9:C:x
132:   26:80:B:x
133:   26:27:A:x
134:   26:73:c:x
135:   27:93:A:x
136:   27:99:b:x
137:   27:43:C:y
138:   27:25:c:x
139:   27:35:B:y
140:   28:66:c:y
141:   28:11:a:x
142:   28:79:A:y
143:   28:14:B:x
144:   28:87:C:x
145:   29:61:B:x
146:   29:60:a:x
147:   29:23:c:y
148:   29:7:b:y
149:   29:95:C:y
150:   30:12:a:x
151:   30:67:A:x
152:   30:37:c:y
153:   30:91:C:y
154:   30:70:B:x
155:   31:0:a:y
156:   31:51:C:y
157:   31:72:c:y
158:   31:3:b:y
159:   31:22:A:y
160:   32:21:a:x
161:   32:13:b:y
162:   32:75:c:x
163:   32:47:B:y
164:   32:88:C:y
165:   33:20:B:x
166:   33:8:a:x
167:   33:21:b:x
168:   33:55:A:x
169:   33:50:C:x
170:   34:80:a:y
171:   34:4:c:y
172:   34:71:B:x
173:   34:92:A:y
174:   34:39:C:y
175:   35:90:B:x
176:   35:61:A:y
177:   35:71:b:x
178:   35:37:a:y
179:   35:36:c:x
180:   36:1:c:y
181:   36:6:B:x
182:   36:23:C:x
183:   36:18:A:x
184:   36:44:a:y
185:   37:28:A:y
186:   37:27:c:y
187:   37:46:C:y
188:   37:22:b:y
189:   37:36:a:x
190:   38:10:a:x
191:   38:18:C:y
192:   38:29:b:x
193:   38:74:B:x
194:   38:19:c:x
195:   39:4:a:y
196:   39:6:c:y
197:   39:46:B:x
198:   39:98:C:y
199:   39:68:A:x
200:   40:61:B:x
201:   40:94:b:y
202:   40:0:C:y
203:   40:98:a:x
204:   40:45:c:y
205:   41:62:A:x
206:   41:47:C:y
207:   41:68:B:x
208:   41:15:b:x
209:   41:64:a:y
210:   42:95:a:y
211:   42:11:b:y
212:   42:58:A:x
213:   42:7:c:x
214:   42:47:B:x
215:   43:44:B:y
216:   43:56:b:x
217:   43:64:C:y
218:   43:15:c:y
219:   43:86:A:y
220:   44:77:a:y
221:   44:1:c:x
222:   44:83:b:x
223:   44:26:A:y
224:   44:92:B:x
225:   45:96:c:y
226:   45:74:b:y
227:   45:56:a:x
228:   45:7:B:x
229:   45:14:A:x
230:   46:24:c:x
231:   46:97:a:x
232:   46:12:b:y
233:   46:10:A:y
234:   46:54:B:y
235:   47:14:a:y
236:   47:97:b:y
237:   47:55:C:x
238:   47:68:A:x
239:   47:12:c:x
240:   48:60:B:y
241:   48:44:C:x
242:   48:63:A:y
243:   48:55:c:y
244:   48:29:a:x
245:   49:5:c:x
246:   49:13:b:y
247:   49:67:a:x
248:   49:50:B:y
249:   49:84:A:y
250:   50:31:C:x
251:   50:23:b:y
252:   50:26:B:y
253:   50:70:c:y
254:   50:75:a:y
255:   51:3:c:y
256:   51:25:a:x
257:   51:26:B:x
258:   51:29:C:x
259:   51:33:A:x
260:   52:89:a:x
261:   52:60:A:y
262:   52:99:b:x
263:   52:92:c:x
264:   52:3:B:x
265:   53:70:A:y
266:   53:13:b:y
267:   53:18:C:x
268:   53:99:c:x
269:   53:81:a:x
270:   54:91:A:y
271:   54:34:C:x
272:   54:83:a:y
273:   54:30:c:x
274:   54:50:B:x
275:   55:42:a:x
276:   55:84:C:x
277:   55:41:A:y
278:   55:83:c:x
279:   55:45:b:x
280:   56:41:A:y
281:   56:39:b:y
282:   56:65:c:x
283:   56:65:a:y
284:   56:89:C:x
285:   57:96:c:y
286:   57:30:b:y
287:   57:89:B:y
288:   57:39:A:y
289:   57:63:C:x
290:   58:53:c:x
291:   58:33:A:y
292:   58:57:a:x
293:   58:15:C:x
294:   58:54:B:y
295:   59:57:A:x
296:   59:34:c:y
297:   59:56:B:x
298:   59:84:a:y
299:   59:53:b:x
300:   60:41:b:y
301:   60:88:B:x
302:   60:96:c:x
303:   60:99:a:y
304:   60:99:C:x
305:   61:21:A:x
306:   61:64:c:x
307:   61:69:B:x
308:   61:33:C:x
309:   61:69:a:x
310:   62:80:C:x
311:   62:0:A:x
312:   62:59:a:x
313:   62:63:B:x
314:   62:75:c:y
315:   63:51:C:y
316:   63:88:a:x
317:   63:19:B:y
318:   63:85:A:y
319:   63:91:c:x
320:   64:48:c:x
321:   64:8:A:y
322:   64:29:C:y
323:   64:61:a:x
324:   64:55:b:x
325:   65:48:C:x
326:   65:89:b:x
327:   65:53:c:y
328:   65:31:a:y
329:   65:99:A:y
330:   66:62:a:y
331:   66:2:b:x
332:   66:17:B:y
333:   66:57:C:y
334:   66:29:A:y
335:   67:6:B:x
336:   67:78:a:x
337:   67:8:b:x
338:   67:30:A:x
339:   67:66:c:x
340:   68:37:C:y
341:   68:51:a:y
342:   68:34:B:x
343:   68:56:A:x
344:   68:56:c:y
345:   69:31:C:y
346:   69:65:B:y
347:   69:69:b:x
348:   69:14:c:x
349:   69:16:A:x
350:   70:99:C:x
351:   70:65:c:x
352:   70:32:b:y
353:   70:73:a:y
354:   70:21:A:y
355:   71:81:a:x
356:   71:36:c:y
357:   71:99:A:x
358:   71:0:b:x
359:   71:11:B:x
360:   72:20:B:x
361:   72:8:C:x
362:   72:37:a:x
363:   72:99:A:y
364:   72:42:b:x
365:   73:62:A:x
366:   73:36:c:x
367:   73:31:B:y
368:   73:93:a:y
369:   73:48:C:y
370:   74:76:c:y
371:   74:18:b:x
372:   74:1:C:y
373:   74:99:A:y
374:   74:45:a:x
375:   75:22:c:x
376:   75:42:B:y
377:   75:14:a:y
378:   75:49:A:x
379:   75:83:C:x
380:   76:6:C:x
381:   76:8:b:x
382:   76:26:B:y
383:   76:53:c:y
384:   76:57:A:x
385:   77:28:B:y
386:   77:24:c:y
387:   77:33:C:y
388:   77:83:b:x
389:   77:33:A:x
390:   78:26:A:x
391:   78:76:b:x
392:   78:80:B:y
393:   78:99:C:x
394:   78:24:c:y
395:   79:72:c:y
396:   79:51:A:x
397:   79:97:b:y
398:   79:22:a:y
399:   79:85:B:x
400:   80:65:A:x
401:   80:99:C:y
402:   80:29:a:y
403:   80:90:b:y
404:   80:49:B:y
405:   81:89:b:x
406:   81:86:B:y
407:   81:13:A:y
408:   81:46:a:y
409:   81:97:C:x
410:   82:85:c:y
411:   82:58:C:y
412:   82:50:A:y
413:   82:81:b:y
414:   82:86:a:y
415:   83:48:B:y
416:   83:24:a:y
417:   83:41:c:y
418:   83:99:C:x
419:   83:53:A:x
420:   84:99:A:x
421:   84:50:a:x
422:   84:30:c:y
423:   84:28:C:x
424:   84:99:B:x
425:   85:90:B:x
426:   85:99:c:y
427:   85:85:b:x
428:   85:69:a:x
429:   85:39:A:y
430:   86:53:C:x
431:   86:37:c:x
432:   86:54:A:x
433:   86:77:a:x
434:   86:71:B:x
435:   87:38:c:y
436:   87:99:C:x
437:   87:31:a:x
438:   87:56:A:y
439:   87:99:b:x
440:   88:76:B:y
441:   88:66:C:x
442:   88:84:b:x
443:   88:26:c:x
444:   88:16:a:x
445:   89:69:b:y
446:   89:7:C:x
447:   89:17:B:x
448:   89:73:a:x
449:   89:99:c:x
450:   90:30:a:x
451:   90:60:b:y
452:   90:11:c:y
453:   90:43:B:x
454:   90:22:C:x
455:   91:38:C:x
456:   91:65:A:x
457:   91:33:a:x
458:   91:18:c:x
459:   91:74:B:y
460:   92:83:B:y
461:   92:87:A:x
462:   92:86:C:y
463:   92:46:a:y
464:   92:40:b:x
465:   93:50:C:x
466:   93:15:c:y
467:   93:35:b:y
468:   93:10:a:y
469:   93:76:B:x
470:   94:99:A:y
471:   94:31:a:x
472:   94:12:C:x
473:   94:3:b:y
474:   94:59:B:y
475:   95:48:c:y
476:   95:22:C:x
477:   95:88:b:x
478:   95:44:B:y
479:   95:29:A:x
480:   96:26:c:y
481:   96:47:a:x
482:   96:32:b:x
483:   96:20:B:y
484:   96:9:A:x
485:   97:13:b:y
486:   97:18:c:x
487:   97:17:a:y
488:   97:82:A:y
489:   97:53:B:y
490:   98:74:A:y
491:   98:6:b:y
492:   98:46:B:y
493:   98:12:c:x
494:   98:70:C:y
495:   99:41:B:y
496:   99:99:a:y
497:   99:74:A:y
498:   99:59:C:y
499:   99:44:c:x
