states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:39:b:y
222:   44:18:c:x
223:   44:65:B:y
224:   44:37:C:y
225:   45:85:b:x
226:   45:11:a:x
227:   45:4:C:y
228:   45:98:A:y
229:   45:94:c:x
230:   46:6:A:x
231:   46:82:b:x
232:   46:59:c:x
233:   46:57:C:x
234:   46:72:B:x
235:   47:17:B:y
236:   47:56:A:y
237:   47:86:b:x
238:   47:65:c:x
239:   47:42:a:x
240:   48:47:A:y
241:   48:8:b:x
242:   48:40:B:x
243:   48:14:C:x
244:   48:17:a:y
245:   49:94:b:y
246:   49:85:A:y
247:   49:8:B:y
248:   49:0:a:x
249:   49:12:C:y
250:   50:38:a:y
251:   50:95:A:x
252:   50:6:B:y
253:   50:54:C:x
254:   50:7:b:x
255:   51:23:c:x
256:   51:54:a:y
257:   51:27:C:y
258:   51:32:b:y
259:   51:94:A:x
260:   52:16:b:x
261:   52:16:A:x
262:   52:82:c:y
263:   52:70:C:y
264:   52:6:B:y
265:   53:57:a:y
266:   53:32:b:y
267:   53:12:C:x
268:   53:16:A:y
269:   53:54:c:y
270:   54:49:B:x
271:   54:70:a:y
272:   54:14:A:y
273:   54:12:b:x
274:   54:87:C:y
275:   55:46:b:x
276:   55:88:C:y
277:   55:87:c:x
278:   55:23:A:x
279:   55:88:a:y
280:   56:77:B:x
281:   56:85:b:y
282:   56:66:c:y
283:   56:42:C:x
284:   56:46:a:x
285:   57:34:a:x
286:   57:64:C:x
287:   57:10:B:y
288:   57:46:b:x
289:   57:79:A:y
290:   58:10:b:x
291:   58:78:A:y
292:   58:49:c:x
293:   58:77:B:x
294:   58:62:C:x
295:   59:78:C:x
296:   59:48:B:y
297:   59:28:c:x
298:   59:49:b:y
299:   59:77:a:x
300:   60:65:b:y
301:   60:64:C:y
302:   60:67:B:y
303:   60:2:A:x
304:   60:34:c:x
305:   61:46:b:y
306:   61:4:C:x
307:   61:55:c:x
308:   61:70:a:x
309:   61:97:B:y
310:   62:45:A:y
311:   62:99:c:y
312:   62:38:C:y
313:   62:21:a:x
314:   62:34:b:y
315:   63:53:C:x
316:   63:32:B:x
317:   63:9:a:x
318:   63:40:A:x
319:   63:16:c:y
320:   64:21:c:y
321:   64:34:B:y
322:   64:72:A:y
323:   64:47:C:y
324:   64:70:a:x
325:   65:37:b:y
326:   65:49:a:y
327:   65:70:B:x
328:   65:11:c:x
329:   65:50:C:y
330:   66:12:A:y
331:   66:30:a:y
332:   66:42:B:y
333:   66:58:C:y
334:   66:74:c:y
335:   67:13:a:x
336:   67:45:b:y
337:   67:74:c:y
338:   67:74:A:x
339:   67:51:B:y
340:   68:70:c:y
341:   68:99:B:x
342:   68:57:A:x
343:   68:52:a:y
344:   68:5:b:y
345:   69:88:B:x
346:   69:48:c:x
347:   69:82:C:y
348:   69:72:a:x
349:   69:4:b:x
350:   70:16:B:y
351:   70:51:C:y
352:   70:95:c:x
353:   70:1:a:y
354:   70:34:b:x
355:   71:9:a:x
356:   71:9:A:y
357:   71:17:b:x
358:   71:99:c:x
359:   71:39:C:x
360:   72:14:C:y
361:   72:14:c:x
362:   72:18:A:y
363:   72:80:a:y
364:   72:70:b:y
365:   73:46:B:y
366:   73:69:c:x
367:   73:12:A:x
368:   73:57:a:y
369:   73:70:b:y
370:   74:75:c:y
371:   74:18:b:y
372:   74:26:B:y
373:   74:41:A:x
374:   74:50:C:y
375:   75:65:A:y
376:   75:21:b:y
377:   75:73:B:x
378:   75:65:c:y
379:   75:32:C:x
380:   76:0:C:x
381:   76:91:A:y
382:   76:55:b:x
383:   76:53:B:y
384:   76:58:a:y
385:   77:30:a:y
386:   77:19:A:x
387:   77:10:C:y
388:   77:51:b:x
389:   77:62:B:x
390:   78:4:C:x
391:   78:48:c:y
392:   78:35:a:x
393:   78:36:B:x
394:   78:5:b:x
395:   79:76:B:y
396:   79:64:b:x
397:   79:49:a:y
398:   79:25:c:x
399:   79:25:C:x
400:   80:99:c:x
401:   80:57:b:x
402:   80:11:A:x
403:   80:21:a:y
404:   80:57:C:y
405:   81:57:c:y
406:   81:82:B:x
407:   81:65:b:x
408:   81:72:C:x
409:   81:39:A:y
410:   82:88:a:y
411:   82:89:b:x
412:   82:47:c:y
413:   82:65:C:x
414:   82:35:A:x
415:   83:70:a:y
416:   83:26:B:y
417:   83:91:C:x
418:   83:81:A:y
419:   83:58:b:x
420:   84:55:B:y
421:   84:81:b:y
422:   84:73:A:x
423:   84:45:a:x
424:   84:59:C:y
425:   85:50:c:x
426:   85:11:A:y
427:   85:12:B:x
428:   85:47:a:x
429:   85:77:b:x
430:   86:56:b:y
431:   86:59:A:x
432:   86:63:a:x
433:   86:28:c:x
434:   86:45:B:y
435:   87:42:A:y
436:   87:8:c:x
437:   87:61:a:x
438:   87:86:C:y
439:   87:8:B:x
440:   88:94:c:y
441:   88:38:B:y
442:   88:41:C:x
443:   88:94:A:y
444:   88:66:a:y
445:   89:80:C:y
446:   89:39:B:x
447:   89:52:a:x
448:   89:76:b:x
449:   89:20:A:y
450:   90:16:A:y
451:   90:31:a:y
452:   90:54:c:y
453:   90:44:C:x
454:   90:98:B:y
455:   91:23:B:y
456:   91:49:a:y
457:   91:9:A:y
458:   91:11:b:x
459:   91:55:C:y
460:   92:88:C:y
461:   92:83:c:y
462:   92:52:B:y
463:   92:57:a:y
464:   92:3:b:y
465:   93:5:A:y
466:   93:99:B:y
467:   93:85:b:x
468:   93:49:C:y
469:   93:42:c:x
470:   94:64:b:y
471:   94:3:C:y
472:   94:62:A:y
473:   94:9:B:x
474:   94:53:c:y
475:   95:99:C:x
476:   95:61:a:x
477:   95:51:b:x
478:   95:59:B:y
479:   95:99:c:y
480:   96:17:c:x
481:   96:80:b:x
482:   96:50:A:x
483:   96:31:C:x
484:   96:2:a:y
485:   97:80:B:y
486:   97:84:b:x
487:   97:47:C:y
488:   97:86:c:x
489:   97:69:a:x
490:   98:35:c:y
491:   98:41:B:y
492:   98:10:b:y
493:   98:75:A:y
494:   98:29:a:y
495:   99:20:b:y
496:   99:48:A:x
497:   99:21:c:x
498:   99:19:C:x
499:   99:12:B:y
