states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:80:b:y
388:   77:90:a:x
389:   77:72:C:y
390:   78:45:B:y
391:   78:48:a:x
392:   78:71:C:x
393:   78:39:A:x
394:   78:32:b:y
395:   79:11:c:y
396:   79:57:a:y
397:   79:44:b:x
398:   79:29:B:y
399:   79:23:C:x
400:   80:40:C:x
401:   80:83:b:x
402:   80:82:B:x
403:   80:57:a:x
404:   80:18:A:x
405:   81:7:b:x
406:   81:99:a:x
407:   81:33:B:y
408:   81:59:C:x
409:   81:82:c:y
410:   82:75:A:y
411:   82:48:B:y
412:   82:93:C:y
413:   82:21:b:y
414:   82:52:c:y
415:   83:23:B:x
416:   83:73:a:x
417:   83:76:C:y
418:   83:92:c:x
419:   83:52:b:y
420:   84:24:A:y
421:   84:28:b:x
422:   84:55:a:y
423:   84:30:B:x
424:   84:62:C:y
425:   85:46:c:y
426:   85:86:A:y
427:   85:14:b:x
428:   85:73:a:y
429:   85:35:B:y
430:   86:75:c:x
431:   86:57:C:x
432:   86:48:A:y
433:   86:68:B:y
434:   86:99:b:y
435:   87:35:C:y
436:   87:65:b:x
437:   87:15:c:y
438:   87:74:A:y
439:   87:53:a:x
440:   88:10:A:y
441:   88:14:c:x
442:   88:99:b:x
443:   88:66:C:y
444:   88:57:B:y
445:   89:49:a:x
446:   89:28:B:x
447:   89:58:C:y
448:   89:62:c:y
449:   89:92:b:x
450:   90:62:B:y
451:   90:45:a:y
452:   90:35:C:x
453:   90:6:A:y
454:   90:80:b:x
455:   91:89:b:x
456:   91:99:B:y
457:   91:28:C:y
458:   91:7:A:y
459:   91:89:c:x
460:   92:51:a:y
461:   92:74:C:y
462:   92:53:A:y
463:   92:28:c:x
464:   92:86:B:x
465:   93:26:a:x
466:   93:99:C:y
467:   93:52:b:y
468:   93:99:A:y
469:   93:9:c:y
470:   94:86:B:x
471:   94:37:A:x
472:   94:87:C:y
473:   94:50:b:x
474:   94:42:c:y
475:   95:33:A:x
476:   95:97:B:x
477:   95:59:b:x
478:   95:76:c:y
479:   95:71:C:x
480:   96:8:A:x
481:   96:11:B:x
482:   96:63:c:y
483:   96:92:b:y
484:   96:36:a:y
485:   97:99:a:y
486:   97:42:c:y
487:   97:91:b:y
488:   97:87:B:y
489:   97:12:C:x
490:   98:76:A:x
491:   98:73:a:y
492:   98:23:c:x
493:   98:42:B:x
494:   98:75:b:x
495:   99:2:C:y
496:   99:91:c:y
497:   99:55:b:x
498:   99:98:B:y
499:   99:83:a:y
