states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:14:C:x
170:   34:7:b:x
171:   34:11:A:x
172:   34:64:B:x
173:   34:57:c:x
174:   34:23:a:x
175:   35:87:A:x
176:   35:81:a:x
177:   35:65:B:x
178:   35:33:C:y
179:   35:30:b:x
180:   36:71:b:y
181:   36:91:c:x
182:   36:37:C:y
183:   36:47:B:y
184:   36:56:A:x
185:   37:36:c:x
186:   37:92:C:x
187:   37:99:A:y
188:   37:34:B:x
189:   37:32:b:x
190:   38:79:a:y
191:   38:66:C:y
192:   38:92:B:y
193:   38:95:c:y
194:   38:57:b:y
195:   39:1:c:x
196:   39:95:A:y
197:   39:29:a:y
198:   39:2:B:y
199:   39:67:C:x
200:   40:53:B:y
201:   40:37:A:y
202:   40:65:C:x
203:   40:69:c:y
204:   40:57:a:x
205:   41:80:c:y
206:   41:83:A:y
207:   41:89:a:y
208:   41:16:C:y
209:   41:88:b:y
210:   42:78:A:y
211:   42:56:C:y
212:   42:94:B:x
213:   42:48:c:x
214:   42:82:b:y
215:   43:68:C:y
216:   43:50:a:x
217:   43:23:A:x
218:   43:93:c:x
219:   43:22:B:y
220:   44:12:C:y
221:   44:1:B:x
222:   44:62:b:y
223:   44:3:A:y
224:   44:32:a:x
225:   45:13:A:y
226:   45:69:C:y
227:   45:60:B:y
228:   45:77:a:x
229:   45:71:c:x
230:   46:88:b:y
231:   46:43:B:x
232:   46:4:A:x
233:   46:60:C:y
234:   46:40:c:y
235:   47:17:a:x
236:   47:20:c:y
237:   47:8:C:x
238:   47:86:b:y
239:   47:44:B:x
240:   48:63:c:y
241:   48:82:b:y
242:   48:83:a:x
243:   48:17:B:x
244:   48:62:C:x
245:   49:2:b:x
246:   49:80:C:y
247:   49:90:a:y
248:   49:50:c:x
249:   49:79:A:y
250:   50:49:c:x
251:   50:38:b:y
252:   50:69:B:y
253:   50:8:a:y
254:   50:82:A:x
255:   51:16:a:x
256:   51:28:b:y
257:   51:63:c:y
258:   51:93:B:y
259:   51:45:C:y
260:   52:73:C:x
261:   52:98:A:x
262:   52:55:B:x
263:   52:79:b:x
264:   52:5:c:y
265:   53:21:A:x
266:   53:74:a:y
267:   53:28:c:y
268:   53:98:b:x
269:   53:16:B:x
270:   54:23:C:y
271:   54:98:a:x
272:   54:81:A:x
273:   54:64:B:x
274:   54:13:c:y
275:   55:58:B:y
276:   55:15:b:x
277:   55:77:a:y
278:   55:74:C:x
279:   55:15:c:x
280:   56:74:B:y
281:   56:55:b:y
282:   56:72:A:x
283:   56:3:a:y
284:   56:5:C:y
285:   57:63:a:x
286:   57:67:c:x
287:   57:48:b:x
288:   57:67:B:x
289:   57:90:C:y
290:   58:88:a:x
291:   58:28:B:y
292:   58:90:A:y
293:   58:85:c:y
294:   58:85:C:y
295:   59:58:b:y
296:   59:72:B:x
297:   59:72:c:x
298:   59:58:C:y
299:   59:15:a:y
300:   60:4:a:y
301:   60:14:C:y
302:   60:48:c:x
303:   60:6:A:y
304:   60:14:b:x
305:   61:68:C:x
306:   61:18:a:x
307:   61:81:b:y
308:   61:8:A:x
309:   61:8:c:y
310:   62:88:a:y
311:   62:72:C:x
312:   62:17:B:x
313:   62:34:c:y
314:   62:25:A:y
315:   63:9:A:y
316:   63:27:C:x
317:   63:99:b:y
318:   63:88:c:y
319:   63:14:a:x
320:   64:79:c:y
321:   64:22:a:x
322:   64:30:b:y
323:   64:13:C:y
324:   64:99:B:y
325:   65:7:c:x
326:   65:9:b:y
327:   65:53:a:x
328:   65:30:B:y
329:   65:11:A:x
330:   66:99:B:x
331:   66:30:c:y
332:   66:54:a:x
333:   66:49:C:x
334:   66:58:b:x
335:   67:46:b:y
336:   67:1:C:y
337:   67:2:a:y
338:   67:3:c:y
339:   67:55:B:x
340:   68:26:C:x
341:   68:57:a:y
342:   68:6:c:y
343:   68:0:B:y
344:   68:17:b:y
345:   69:59:b:y
346:   69:60:a:x
347:   69:36:A:x
348:   69:0:B:y
349:   69:11:C:y
350:   70:12:A:x
351:   70:16:c:x
352:   70:8:b:y
353:   70:67:a:y
354:   70:94:B:x
355:   71:77:B:x
356:   71:10:C:y
357:   71:68:a:x
358:   71:49:A:x
359:   71:84:c:y
360:   72:64:B:y
361:   72:96:b:y
362:   72:16:C:y
363:   72:96:A:x
364:   72:43:c:x
365:   73:42:B:y
366:   73:99:a:x
367:   73:22:C:y
368:   73:83:c:x
369:   73:33:A:y
370:   74:14:a:y
371:   74:25:A:x
372:   74:77:b:y
373:   74:60:C:y
374:   74:35:c:x
375:   75:67:B:y
376:   75:3:A:x
377:   75:23:b:y
378:   75:78:C:y
379:   75:46:a:x
380:   76:5:A:y
381:   76:87:a:y
382:   76:53:B:x
383:   76:11:c:y
384:   76:22:C:x
385:   77:75:a:y
386:   77:53:B:y
387:   77:14:b:x
388:   77:75:c:x
389:   77:69:C:x
390:   78:9:A:x
391:   78:28:c:x
392:   78:86:b:x
393:   78:39:a:x
394:   78:74:C:x
395:   79:66:A:y
396:   79:89:b:y
397:   79:52:c:y
398:   79:48:a:x
399:   79:39:C:y
400:   80:66:A:x
401:   80:52:c:x
402:   80:72:B:x
403:   80:59:a:x
404:   80:23:C:x
405:   81:71:b:x
406:   81:51:C:y
407:   81:13:A:x
408:   81:14:B:x
409:   81:77:a:y
410:   82:61:a:y
411:   82:3:B:y
412:   82:76:A:x
413:   82:28:c:y
414:   82:38:b:y
415:   83:77:B:x
416:   83:22:A:y
417:   83:31:c:y
418:   83:44:b:y
419:   83:59:C:y
420:   84:13:c:x
421:   84:58:b:y
422:   84:22:C:x
423:   84:26:a:y
424:   84:86:A:y
425:   85:69:a:x
426:   85:46:C:y
427:   85:35:c:x
428:   85:30:A:y
429:   85:9:B:y
430:   86:22:C:y
431:   86:61:a:y
432:   86:19:c:y
433:   86:30:B:y
434:   86:60:b:y
435:   87:62:b:y
436:   87:15:A:x
437:   87:54:c:x
438:   87:98:C:y
439:   87:13:B:y
440:   88:37:b:y
441:   88:58:a:x
442:   88:54:c:y
443:   88:20:C:x
444:   88:38:A:x
445:   89:4:b:x
446:   89:56:C:y
447:   89:74:A:y
448:   89:69:a:y
449:   89:76:B:x
450:   90:35:A:x
451:   90:91:C:x
452:   90:51:b:y
453:   90:22:c:x
454:   90:50:a:y
455:   91:93:c:y
456:   91:58:b:x
457:   91:3:a:y
458:   91:91:A:y
459:   91:75:C:y
460:   92:72:A:x
461:   92:81:b:y
462:   92:92:a:y
463:   92:96:c:y
464:   92:40:B:y
465:   93:18:a:y
466:   93:93:C:y
467:   93:21:c:y
468:   93:43:B:y
469:   93:95:A:y
470:   94:66:B:y
471:   94:92:c:y
472:   94:81:C:x
473:   94:86:a:y
474:   94:78:b:x
475:   95:9:A:y
476:   95:28:c:y
477:   95:42:C:x
478:   95:19:B:x
479:   95:28:a:x
480:   96:86:C:y
481:   96:13:c:y
482:   96:82:A:y
483:   96:70:B:x
484:   96:61:b:y
485:   97:98:B:y
486:   97:1:a:y
487:   97:75:C:x
488:   97:55:A:x
489:   97:99:b:x
490:   98:71:b:x
491:   98:77:A:x
492:   98:35:B:y
493:   98:14:c:x
494:   98:52:a:x
495:   99:69:b:x
496:   99:31:B:y
497:   99:29:c:x
498:   99:44:C:y
499:   99:81:A:y
